ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,CH4_UC,CH4_Qst,CH4_Qff,CH4_Qfm,N2_UC,N2_Qst,N2_Qff,N2_Qfm,CH4_bar,N2_bar,CH4_UC_Z,N2_UC_Z,CH4_Ds,N2_Ds,Sads_CH4_N2,Sdiff_CH4_N2,P_CH4,P_N2,Sperm_N2_CH4
1,M7430,9386.71973,1.33027,3.80895,7.51697,1042.39001,783.59399,5491.50977,0.58503,0.43978,2.68867,18.2143628,0.1474409,15.5892114,0.71005,14.4464593,0.1268544,11.8418944,0.4989397,0.4998287,2.625,0.625,1.672e-09,2.375e-09,3.7865924934863746,0.704,47738.539838240555,17876.182284040195,0.3744601813254588
2,M7432,9324.25,1.31375,3.16607,7.33333,0.0,0.0,5188.47998,0.55645,0.42356,2.09644,18.4169911,0.1835199,15.7557606,0.49927,14.2955114,0.1466952,11.6711057,0.4989397,0.4998287,2.0,0.375,1.459e-09,2.04e-09,4.1990105554109,0.7151960784313726,32698.867472542686,10868.947532474505,0.33239522872164257
3,M7436,9385.51953,1.48322,3.65064,7.39899,0.0,0.0,5214.68994,0.55561,0.3746,3.69141,19.4119911,0.1800265,16.754254,0.90584,15.757018,0.1575133,13.1217942,0.4989397,0.4998287,3.625,0.875,7.165e-10,2.067e-09,4.075123642144308,0.34663763909046924,28090.471072503125,19850.40564984565,0.7066597636832294
4,M7438,7130.33008,1.27034,4.15372,8.51663,1691.80005,1331.77002,4428.93018,0.62114,0.48896,1.00163,14.8369106,0.0773342,12.2818658,0.32483,11.6522079,0.0639223,9.1105751,0.4989397,0.4998287,1.0,0.25,5.435e-09,5.241e-09,3.083551396114891,1.0370158366723907,76103.8304702107,23757.28502086206,0.31216937273822726
5,M7448,19916.4003,0.99523,4.54081,11.85492,1865.34998,1874.30005,13569.2002,0.68131,0.68458,2.33652,13.8222505,0.1273134,11.2172265,1.00014,11.3065444,0.1016854,8.7271485,0.4989397,0.4998287,2.25,1.0,9.931e-09,1.3e-08,2.3361929329893814,0.7639230769230768,116134.69357277064,64957.681422798894,0.5593305447703795
6,M7454,21863.6992,0.73182,5.50739,11.10331,2085.93994,2850.33008,15647.7998,0.7157,0.97797,3.73225,14.2918162,0.1763875,11.6377181,1.30813,11.0979681,0.1354328,8.4848247,0.4989397,0.4998287,3.625,1.25,6.704e-09,8.518e-09,2.8531185738420493,0.7870392110824137,114075.25515476768,50710.994768669574,0.4445398320597151
7,M7650,4493.25977,0.98181,3.76386,7.81381,1441.67004,1468.37,2832.90991,0.63048,0.64216,1.12923,16.3732779,0.238992,13.6565754,0.37129,13.4930916,0.1764817,10.8388994,0.4989397,0.4998287,1.11111,0.33333,5.967e-09,5.949e-09,3.0413692800775673,1.0030257186081695,149480.9937866112,48913.82490954056,0.3272243759589034
8,M7760,4499.5,0.83281,4.03132,8.25573,1910.09998,2293.56006,3041.87988,0.67605,0.81177,0.83496,14.2621556,0.1901732,11.5942718,0.3131,11.6391654,0.1431113,9.0183436,0.4989397,0.4998287,0.77778,0.22222,1.078e-08,1.264e-08,2.66675183647397,0.8528481012658228,199402.30234873324,87519.08141883295,0.4389070757356225
9,MM20230,29422.3,0.97874,6.79656,9.89348,1734.57,1772.25,19467.0,0.66164,0.67601,4.82588,15.5797022,0.1493771,12.9526146,1.61009,12.0549955,0.1096377,9.4676472,0.4989397,0.4998287,4.5,1.5,1.351e-08,1.758e-08,2.9972734443416202,0.7684869169510808,220883.6509345952,95725.49039727746,0.4333751728217417
10,MM21740,5427.88,0.78692,4.84947,8.45318,1726.06,2193.45,3545.33,0.65317,0.83004,1.75998,17.1460057,0.2777155,14.3905797,0.5306,13.4730323,0.2152625,10.7800593,0.4989397,0.4998287,1.66667,0.44444,1.243e-08,1.299e-08,3.3169619298906903,0.9568899153194765,401751.40610850835,126351.91046602982,0.31450272119745526
11,MM21761,5427.88,0.78568,4.61858,9.24056,1692.51,2154.18,3553.25,0.65463,0.8332,1.38888,16.6694326,0.2314775,13.9602445,0.4443,13.0873908,0.174153,10.4355272,0.4989397,0.4998287,1.33333,0.33333,9.594e-09,1.25e-08,3.125995948683322,0.76752,244705.4026400968,101810.44083768777,0.4160530978853238
12,MM21764,5446.91,0.73158,6.89572,9.69682,2088.61,2854.95,3872.21,0.7109,0.97174,1.07571,14.6204384,0.1791931,11.9635348,0.3615,11.2169905,0.1393545,8.5999255,0.4989397,0.4998287,1.0,0.33333,2.377e-08,2.101e-08,2.9756846473029044,1.13136601618277,467932.2523102693,138745.7913951906,0.2965082887750879
13,MM26140,7390.83,1.04556,2.77906,11.59968,0.0,0.0,4422.75,0.59841,0.57233,2.34328,20.2169798,0.1454897,17.5937796,0.5165,14.7790152,0.1270245,12.1742802,0.4989397,0.4998287,2.25,0.5,2.904e-09,5.189e-09,4.536844143272024,0.5596454037386779,91777.50126663002,36082.47340139689,0.3931516210772711
14,MM26141,7415.67,0.77332,4.4944,12.28046,1341.85,1735.2,5077.66,0.68472,0.88543,1.64048,17.3392153,0.1047724,14.7567323,0.46276,12.7949083,0.0888496,10.2283482,0.4989397,0.4998287,1.625,0.375,6.676e-09,6.671e-09,3.5449909240210906,1.0007495128166692,147212.8242366145,41422.089398305354,0.2813755500793043
15,MM26144,6035.83,0.66605,6.49173,13.11848,1722.91,2586.74,4349.84,0.72067,1.082,0.77885,14.4027173,0.0916908,11.8333159,0.30856,11.2322737,0.0758015,8.6787617,0.4989397,0.4998287,0.75,0.25,4.357e-09,6.598e-09,2.524144412756028,0.6603516217035466,56041.98706881378,33562.24091390006,0.5988767113608782
16,MM26288,8211.04,0.86322,4.11822,10.10081,1452.74,1682.93,5522.26,0.67254,0.77911,1.41026,15.1287607,0.1450803,12.5059699,0.5451,13.2605952,0.108282,10.6746026,0.4989397,0.4998287,1.25,0.5,5.589e-09,7.442e-09,2.58715831957439,0.7510077936038699,95684.93080618959,49158.99202080948,0.5137589754898952
17,MM26291,7922.74,0.9199,3.65392,8.31013,0.0,0.0,4973.82,0.62779,0.68246,2.19573,17.5311926,0.2213903,14.8320917,0.81795,16.3993784,0.1775663,13.7441016,0.4989397,0.4998287,2.0,0.75,2.264e-09,2.468e-09,2.6844305886667894,0.9173419773095624,62544.434154366034,25353.15979832139,0.4053623658301426
18,MM26329,7927.27,0.91431,4.07235,8.24458,1278.09,1397.88,5054.27,0.63758,0.69734,1.53267,16.4988903,0.163479,13.8577007,0.62498,15.723077,0.1228692,13.1224973,0.4989397,0.4998287,1.5,0.5,3.062e-09,3.063e-09,2.4523504752152068,0.9996735226901731,59011.82835800721,24028.420081387398,0.4071797256579498
19,MM423,5805.95,0.98892,4.27193,10.12171,1576.3,1593.95,3892.31,0.6704,0.67791,1.20307,15.8723064,0.1693155,13.2252803,0.39987,12.9533466,0.128175,10.347461,0.4989397,0.4998287,1.125,0.375,7.405e-09,7.067e-09,3.0086528121639535,1.0478279326446867,152950.71942398045,48430.20975067108,0.3166393066542054
