ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,CH4_UC,CH4_Qst,CH4_Qff,CH4_Qfm,N2_UC,N2_Qst,N2_Qff,N2_Qfm,CH4_bar,N2_bar,CH4_UC_Z,N2_UC_Z,CH4_Ds,N2_Ds,Sads_CH4_N2,Sdiff_CH4_N2,P_CH4,P_N2,Sperm_CH4_N2
1,M3028,12968.2002,0.71434,6.58314,9.23529,1454.29004,2035.82996,9271.70996,0.71496,1.00086,1.71458,12.7947892,1.71458,12.7947892,0.67545,10.1781516,0.67545,10.0579087,0.4989397,0.4998287,1.625,0.625,2.455e-08,8.369e-09,2.538426234362277,2.9334448560162505,323549.0565658395,1694.3869122024112,190.9534677326334
2,M7433,9370.58008,1.56228,2.92896,5.68145,0.0,0.0,4602.27002,0.49114,0.31437,4.82235,22.2127852,4.82235,22.2127852,1.08611,19.5020603,1.08611,18.5281225,0.4989397,0.4998287,4.75,1.0,2.085e-10,5.732e-10,4.4400198874883765,0.36374738311235166,10695.644948239693,148.75351245643267,71.90179762223941
3,M7439,7134.22021,1.25838,4.68612,9.60106,1845.94995,1466.92004,4529.72998,0.63493,0.50456,1.08785,13.7645449,1.08785,13.7645449,0.39108,11.1486247,0.39108,10.9761673,0.4989397,0.4998287,1.0,0.375,2.191e-08,1.779e-08,2.7816559271760255,1.2315907813378302,333022.753587413,3523.6297913806175,94.51127766090576
4,M7809,4496.7998,0.87489,4.40004,7.58748,1838.21997,2101.07007,2942.12012,0.65427,0.74783,1.3258,15.896626,1.3258,15.896626,0.41125,13.1442714,0.41125,12.6151966,0.4989397,0.4998287,1.22222,0.33333,2.064e-08,2.402e-08,3.2238297872340427,0.8592839300582849,606587.2746811357,6872.703473792899,88.26035882301395
5,M7968,4117.52002,0.76802,5.23119,8.74248,2126.0,2768.13989,2881.11011,0.69972,0.91106,0.57816,12.8119382,0.57816,12.8119382,0.2375,10.1756282,0.2375,10.4556477,0.4989397,0.4998287,0.55556,0.22222,5.626e-08,3.623e-08,2.4343578947368423,1.5528567485509246,787446.7247046378,8112.198814501768,97.06945585418335
6,MM21747,5445.78,0.86461,6.04726,9.21554,2009.55,2324.23,3707.81,0.68086,0.78748,1.25302,15.38127,1.25302,15.38127,0.40225,12.6976168,0.40225,11.9235398,0.4989397,0.4998287,1.22222,0.33333,2.069e-08,2.414e-08,3.11502796768179,0.8570836785418392,474534.5335864632,5765.5204083863555,82.30558561482486
7,MM21766,5432.81,0.93159,5.18102,8.93716,1673.14,1796.01,3444.02,0.63393,0.68048,2.1779,18.1146708,2.1779,18.1146708,0.5693,15.2846222,0.5693,13.9837444,0.4989397,0.4998287,2.11111,0.55556,1.096e-08,1.001e-08,3.8255752678728263,1.094905094905095,437958.65095084877,2879.900592598101,152.07422508835438
8,MM21925,4822.23,0.8098,5.25299,9.24535,1972.79,2436.14,3288.04,0.68185,0.842,1.25574,15.2697891,1.25574,15.2697891,0.39174,12.5594224,0.39174,12.097286,0.4989397,0.4998287,1.22222,0.38889,2.114e-08,1.819e-08,3.2055444937969066,1.1621770203408466,548738.5158477355,4812.894853162886,114.01423313603485
9,MM21926,4821.4,0.95864,5.33028,7.80472,1886.52,1967.91,3154.74,0.65432,0.68255,1.56322,16.3472873,1.56322,16.3472873,0.43856,13.6100513,0.43856,12.7998027,0.4989397,0.4998287,1.55556,0.38889,1.574e-08,1.811e-08,3.5644381612550164,0.8691330756488128,508698.4730191755,5011.704288814307,101.50209264232664
10,MM23324,19124.7,0.99254,3.75924,13.23202,1418.21,1428.86,12410.0,0.6489,0.65378,7.90795,18.3976803,7.90795,18.3976803,2.12608,15.6070999,2.12608,14.3091019,0.4989397,0.4998287,7.875,2.125,7.66e-09,7.797e-09,3.719497855207706,0.9824291394125946,315724.04433807486,2343.1878304931392,134.74124448300358
