ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,C2H6_UC,C2H6_Qst,C2H6_Qff,C2H6_Qfm,C2H4_UC,C2H4_Qst,C2H4_Qff,C2H4_Qfm,C2H6_bar,C2H4_bar,C2H6_UC_Z,C2H4_UC_Z,C2H6_Ds,C2H4_Ds,Sads_C2H6_C2H4,Sdiff_C2H6_C2H4,P_C2H6,P_C2H4,Sperm_C2H4_C2H6
1,M3027,12965.4003,0.71759,6.59204,9.03822,1458.89001,2033.03003,9210.23047,0.71037,0.98993,9.54562,21.6133129,2.8692016,16.2664008,10.73653,19.4023022,2.4990901,14.4255015,0.4958603,0.4967872,9.5,10.625,1.143e-08,1.33e-08,0.8890786874343944,0.8593984962406015,844038.3689549232,1102595.8202674952,1.306333764936201
2,M7430,9386.71973,1.33027,3.80895,7.51697,1042.39001,783.59399,5491.50977,0.58503,0.43978,7.94061,26.3551996,2.587291,21.290198,7.49146,24.1704007,2.3509575,19.3417326,0.4958603,0.4967872,7.875,7.375,4.269e-10,6.203e-10,1.0599549353530553,0.6882153796550056,36221.30562004091,49561.13767422424,1.3682868915360833
3,M7433,9370.58008,1.56228,2.92896,5.68145,0.0,0.0,4602.27002,0.49114,0.31437,7.68684,33.1366821,2.4040088,28.2549628,8.86096,30.5100689,2.1543808,25.8779776,0.4958603,0.4967872,7.625,8.75,1.344e-10,2.018e-10,0.8674951698235857,0.666005946481665,11058.036612862914,19103.889293661003,1.7276022826185078
4,M7436,9385.51953,1.48322,3.65064,7.39899,0.0,0.0,5214.68994,0.55561,0.3746,8.31837,28.5373769,2.5536516,23.5060148,7.81453,25.998515,2.4663541,21.0544503,0.4958603,0.4967872,8.25,7.75,4.358e-10,4.672e-10,1.0644747668765746,0.9327910958904109,38740.455762632715,38943.40347313879,1.0052386505659499
5,M7437,9840.51953,1.12321,4.29133,8.83446,1493.71997,1329.87,6172.06982,0.62721,0.55841,6.24406,24.6608562,1.9976703,20.1854753,7.00591,22.421877,2.0061692,17.9379973,0.4958603,0.4967872,6.125,7.0,1.085e-09,1.621e-09,0.8912560966384095,0.6693399136335595,69052.0621251887,115535.74176087894,1.6731685948989783
6,M7438,7130.33008,1.27034,4.15372,8.51663,1691.80005,1331.77002,4428.93018,0.62114,0.48896,4.42962,22.7103092,1.6007913,18.6318074,4.50625,20.3170816,1.5089201,16.3304509,0.4958603,0.4967872,4.375,4.5,4.56e-10,8.667e-10,0.9829947295423024,0.5261336102457598,28413.169423974825,54835.446857783136,1.9299306613613258
7,M7444,19934.9003,0.85044,5.57122,11.8872,2111.31006,2482.6001,14116.7002,0.70814,0.83267,11.84735,22.0724858,2.4711841,17.1235912,14.03275,19.5630951,2.232808,14.8525766,0.4958603,0.4967872,11.75,14.0,5.528e-09,6.693e-09,0.84426431027418,0.8259375466905723,329513.25659124786,471667.7608587604,1.4314075425616375
8,M7650,4493.25977,0.98181,3.76386,7.81381,1441.67004,1468.37,2832.90991,0.63048,0.64216,5.76971,29.3154958,4.6461306,22.1916547,6.08929,26.4981268,4.0760371,19.9443792,0.4958603,0.4967872,5.66667,6.0,1.485e-09,1.394e-09,0.9475176908966398,1.0652797704447632,191256.71521128542,189127.4760001348,0.9888671139792482
9,M8336,11918.2002,0.64461,5.52022,12.37362,1941.80005,3012.38989,8578.83984,0.71981,1.11667,5.24187,20.8598826,1.6904059,16.6917661,6.55261,18.936579,1.5044167,14.9544517,0.4958603,0.4967872,5.0,6.5,6.256e-09,8.721e-09,0.7999667308141336,0.7173489278752436,275975.16718716477,480016.9432940405,1.7393483195844783
10,M8390,11519.2998,0.64111,6.9095,9.6261,2254.86011,3517.11011,8510.57031,0.73881,1.15239,7.36516,20.844588,2.3696406,15.9972369,8.28397,18.3730209,2.207988,13.6873224,0.4958603,0.4967872,7.25,8.25,1.152e-08,1.207e-08,0.889085788577216,0.9544324772162386,738765.2674229856,868973.5012206304,1.1762511578973474
11,M8404,11518.5996,0.72414,6.92586,9.15161,2196.87988,3033.77002,8344.95996,0.72448,1.00047,7.61535,20.8155655,2.537861,15.799994,8.68196,18.7229238,2.2642565,13.9809568,0.4958603,0.4967872,7.5,8.625,1.108e-08,1.167e-08,0.8771464047288862,0.9494430162810626,734732.8799284203,880597.4524332824,1.1985273512178638
12,M8410,12134.7998,0.52982,7.36397,10.74489,2125.96997,4012.63989,9281.87988,0.7649,1.4437,5.54871,19.5124081,1.7450441,15.2896535,6.55079,17.7712209,1.5703586,13.7231517,0.4958603,0.4967872,5.5,6.5,1.115e-08,1.388e-08,0.8470291369437885,0.803314121037464,511367.72603911656,750133.4036075114,1.4669158130447417
13,M8458,11360.2002,0.63948,7.74443,9.70207,2156.15991,3371.75,8504.94043,0.74866,1.17074,5.75951,19.9589662,1.9588053,15.5224504,6.9078,17.8201153,1.7915146,13.5508902,0.4958603,0.4967872,5.75,6.875,1.05e-08,1.407e-08,0.83376907264252,0.746268656716418,533931.9294083137,856512.7865539734,1.6041610163736293
14,M8468,11902.0,0.74991,6.28311,9.86775,2203.82007,2938.77002,8537.05957,0.71728,0.95649,8.53729,21.6029838,2.9311136,16.1941597,10.06798,19.6105407,2.5761359,14.5566942,0.4958603,0.4967872,8.5,10.0,1.072e-08,1.145e-08,0.8479645370769509,0.9362445414847161,771246.0134502928,969649.7391256418,1.2572508929903679
15,M8474,11359.7998,0.72365,7.74624,9.75193,2116.66992,2924.98999,8325.49023,0.73289,1.01277,6.5031,20.1889291,2.1650758,15.5461427,7.53799,17.8581033,1.9988569,13.3815358,0.4958603,0.4967872,6.5,7.5,1.093e-08,1.322e-08,0.8627100858451656,0.8267776096822995,627577.374332707,878218.6124186375,1.3993790221523414
