ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,C2H6_UC,C2H6_Qst,C2H6_Qff,C2H6_Qfm,C2H4_UC,C2H4_Qst,C2H4_Qff,C2H4_Qfm,C2H6_bar,C2H4_bar,C2H6_UC_Z,C2H4_UC_Z,C2H6_Ds,C2H4_Ds,Sads_C2H6_C2H4,Sdiff_C2H6_C2H4,P_C2H6,P_C2H4,Sperm_C2H6_C2H4
1,M3028,12968.2002,0.71434,6.58314,9.23529,1454.29004,2035.82996,9271.70996,0.71496,1.00086,8.92738,21.229039,2.7318826,16.0194458,10.23697,19.3239023,2.4436145,14.4025772,0.4958603,0.4967872,8.875,10.125,1.055e-08,1.468e-08,0.8720724980145492,0.7186648501362398,1013607.2012581644,1160128.3455046108,0.8737026426307035
2,M7946,4116.33984,0.7715,4.88986,8.40823,2138.29004,2771.61011,2856.28003,0.69389,0.89941,3.85404,23.6057031,3.8906595,17.237333,4.55303,21.569672,3.5033687,15.5885927,0.4958603,0.4967872,3.77778,4.44444,1.069e-08,1.101e-08,0.8464780596657611,0.9709355131698455,1033929.8769007892,1219170.1489710852,0.8480603612000925
3,M7968,4117.52002,0.76802,5.23119,8.74248,2126.0,2768.13989,2881.11011,0.69972,0.91106,3.9571,23.3524133,4.0682481,16.8064546,4.5709,21.2768178,3.65089,15.1482172,0.4958603,0.4967872,3.88889,4.55556,1.435e-08,1.519e-08,0.865715723380516,0.9447004608294931,1464188.3044222507,1688148.1978374107,0.867333985427309
4,M8422,8675.25,0.60457,7.2996,9.45562,2151.71997,3559.11011,6530.64014,0.75279,1.24517,4.80121,20.181797,2.4144057,15.2896807,5.88842,18.3962709,2.0964522,13.8221082,0.4958603,0.4967872,4.75,5.875,1.497e-08,1.739e-08,0.8153647328145751,0.8608395629672226,965308.3770711938,1181688.729870127,0.8168888749385682
5,M8423,8682.34961,0.60257,7.65686,9.49903,2186.37012,3628.42993,6521.56982,0.75113,1.24655,4.5205,19.9733862,2.1966921,15.2989836,5.6459,18.2353008,1.9919344,13.7656558,0.4958603,0.4967872,4.5,5.625,1.675e-08,1.832e-08,0.8006695123895217,0.9143013100436681,956693.0209174609,1192636.9357215993,0.8021661850834918
6,M8489,8525.0,0.6183,7.04268,9.52351,2222.0,3593.76001,6403.97998,0.7512,1.21495,3.66754,19.4099493,1.8644043,15.0678345,4.7374,17.6424813,1.6510277,13.5137431,0.4958603,0.4967872,3.625,4.625,1.755e-08,1.788e-08,0.7741672647443745,0.981543624161074,771517.3383541222,994717.659871312,0.775614397409949
7,M8490,8691.62012,0.64925,6.95017,9.43864,2164.92993,3334.5,6429.18994,0.7397,1.13931,5.28159,20.7471042,2.516999,15.7523947,6.36594,18.879771,2.2696982,14.1323622,0.4958603,0.4967872,5.25,6.25,1.492e-08,1.586e-08,0.8296638045598921,0.9407313997477932,966640.3796000743,1162925.0637320825,0.8312146756024954
8,MM24456,4308.18,0.55308,7.49014,9.73746,2053.75,3713.3,3205.03,0.74394,1.34509,6.3335,24.242116,5.6961697,16.0682357,6.87442,22.248743,5.2170965,14.5539359,0.4958603,0.4967872,6.33333,6.83333,1.237e-08,1.332e-08,0.9213140890431484,0.9286786786786787,1964045.3624452995,2127809.497211335,0.9230362798076324
9,MM26263,7428.1,0.64294,5.50096,10.9994,2263.26,3520.16,5596.18,0.75338,1.17177,3.53102,19.566315,1.9111401,15.1774644,4.3394,17.7358067,1.7268456,13.5312505,0.4958603,0.4967872,3.5,4.25,1.893e-08,1.946e-08,0.8137115730285291,0.972764645426516,927818.7146544027,1138103.0227082882,0.8152326249398036
10,MM26267,8455.71,0.59786,5.20722,13.10665,2156.15,3606.44,6448.07,0.76257,1.2755,3.90949,19.5208729,1.8133506,15.2298118,4.78005,17.7011977,1.6608806,13.5626066,0.4958603,0.4967872,3.75,4.75,1.762e-08,1.983e-08,0.8178763820462128,0.8885526979324258,919582.0730483301,1122255.572178036,0.8194052191370599
11,MM26273,9025.86,0.55564,5.57932,13.54606,2340.89,4212.92,7029.16,0.77878,1.40158,2.87001,17.7474483,1.3388193,13.9309185,3.71799,16.122203,1.2106381,12.4338544,0.4958603,0.4967872,2.75,3.5,2.153e-08,2.449e-08,0.7719251531069208,0.8791343405471622,781054.3563015347,1009938.6847076037,0.7733680946459286
12,MM26280,9834.14,0.56274,5.39275,11.35358,2346.68,4170.12,7561.57,0.76891,1.36638,4.44487,19.3625916,1.8017357,15.0831453,5.56099,17.703066,1.6551298,13.5702257,0.4958603,0.4967872,4.25,5.5,1.918e-08,2.162e-08,0.7992947298952164,0.8871415356151711,980112.6364450871,1223933.9465946106,0.8007888327405943
13,MM26281,9834.14,0.56274,5.39275,11.35358,2346.68,4170.12,7561.57,0.76891,1.36638,4.44487,19.3625916,1.8017357,15.0831453,5.56099,17.703066,1.6551298,13.5702257,0.4958603,0.4967872,4.25,5.5,1.791e-08,2.309e-08,0.7992947298952164,0.7756604590731918,1046753.0423458399,1307152.3971725048,0.8007888327405943
14,MM26290,11426.9,0.50524,5.4681,12.03346,2477.45,4903.46,9006.42,0.78818,1.56,3.17131,17.3665717,1.2265521,13.6623091,4.16575,15.7721938,1.0897198,12.2047634,0.4958603,0.4967872,3.0,4.0,2.115e-08,2.271e-08,0.7612818820140431,0.9313077939233818,632159.6168078702,828839.0350204298,0.7627049283366442
