ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,C3H8_UC,C3H8_Qst,C3H8_Qff,C3H8_Qfm,C3H6_UC,C3H6_Qst,C3H6_Qff,C3H6_Qfm,C3H8_bar,C3H6_bar,C3H8_UC_Z,C3H6_UC_Z,C3H8_Ds,C3H6_Ds,Sads_C3H8_C3H6,Sdiff_C3H8_C3H6,P_C3H8,P_C3H6,Sperm_C3H8_C3H6
1,M3027,12965.4003,0.71759,6.59204,9.03822,1458.89001,2033.03003,9210.23047,0.71037,0.98993,27.55435,38.8073137,12.0836918,24.2459114,19.05585,36.0581074,11.2944077,22.2859892,0.4918288,0.4927727,27.5,19.0,2.923e-09,3.043e-09,1.445978531527064,0.9605652316792639,628168.5457621912,451392.973791341,1.3916223384827555
2,M3028,12968.2002,0.71434,6.58314,9.23529,1454.29004,2035.82996,9271.70996,0.71496,1.00086,27.71443,37.8493817,13.1901441,22.181527,18.80435,35.7229059,12.6699934,20.5752019,0.4918288,0.4927727,27.625,18.75,3.17e-09,3.331e-09,1.47383078915251,0.9516661663164214,685062.5178870449,487489.502941531,1.4052867061820828
3,M7433,9370.58008,1.56228,2.92896,5.68145,0.0,0.0,4602.27002,0.49114,0.31437,7.77235,42.6606403,4.4276437,35.7552861,6.31333,41.2273995,4.2827664,34.4669225,0.4918288,0.4927727,7.75,6.25,6.503e-11,1.21e-10,1.2311014947737566,0.5374380165289256,5454.342422679052,8227.870992548817,0.6629105424256798
4,M8336,11918.2002,0.64461,5.52022,12.37362,1941.80005,3012.38989,8578.83984,0.71981,1.11667,20.77553,29.4120506,11.2509184,15.6834217,16.16581,27.3580315,10.5535019,14.3268191,0.4918288,0.4927727,20.75,16.0,3.564e-09,3.844e-09,1.2851524297266885,0.9271592091571279,628235.1169150944,526236.0149498346,1.1938276725035313
5,M8593,12460.4003,0.84963,7.70031,9.72162,1849.64001,2176.98999,8475.82031,0.68022,0.8006,25.68172,36.3067589,14.0840342,19.7450142,17.9348,34.6162277,14.1965468,17.9419703,0.4918288,0.4927727,25.66667,17.83333,2.235e-09,2.456e-09,1.4319490599281843,0.910016286644951,465813.82726247277,356782.0190786009,1.3055978226297653
6,MN10934,9663.15039,0.81642,6.23412,7.43439,2164.93994,2651.77002,6950.02002,0.71923,0.88096,15.98169,33.1405136,9.9817789,20.6810241,11.46957,31.2877681,9.5954322,19.2146253,0.4918288,0.4927727,15.83333,11.33333,3.116e-09,3.512e-09,1.3933992294392903,0.887243735763098,521128.680780877,420720.606972092,1.2386573705800092
7,MN10952,9429.5,1.17621,5.58227,6.58804,1539.01001,1308.43994,5843.27002,0.61968,0.52684,14.46296,41.4349604,11.1359401,27.8213098,11.2396,39.0858721,10.394833,26.2133286,0.4918288,0.4927727,14.33333,11.16667,1.101e-09,1.092e-09,1.2867860066194527,1.0082417582417582,170765.09882891117,131369.764177942,1.2998812923010783
8,MN10953,9428.86035,1.25233,5.549,6.8063,1395.46997,1114.30005,5683.70996,0.6028,0.48134,12.76542,39.1390445,9.3730005,27.2883334,9.94722,36.7490018,8.9293146,25.3419766,0.4918288,0.4927727,12.66667,9.83333,6.3e-10,8.282e-10,1.2833153383558422,0.760685824680029,86250.19376874472,88183.77527177923,0.9780732737164486
9,MN10954,9702.79004,1.06919,6.2256,8.21098,1677.56995,1569.01001,6207.35986,0.63975,0.59835,16.07856,37.9898117,10.2056246,25.3064765,11.98971,35.7300991,10.143654,23.1087345,0.4918288,0.4927727,16.0,11.83333,1.322e-09,1.367e-09,1.3410299331676911,0.9670811997073885,221526.1820658221,170486.8814621473,1.299373770966694
10,MN10955,7973.77002,1.17593,5.7399,6.976,1024.89001,871.55402,4950.12012,0.6208,0.52792,11.3575,38.2743019,7.9191938,27.8773975,8.67341,36.2729376,7.4206422,26.3745848,0.4918288,0.4927727,11.33333,8.66667,4.475e-10,4.94e-10,1.3094619071391758,0.9058704453441296,64454.73712856586,54232.946217825636,1.1884793584638493
