ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_m3m-3,Va_cm3g-1,CH4_Hen,CH4_Qst,N2_Hen,N2_Qst,CH4_Ds,N2_Ds,CH4_P0,N2_P0,Sads_CH4_N2,CH4_P0_barrer,N2_P0_barrer,Sdiff_N2_CH4,Sperm_CH4_N2,Sperm_N2_CH4
1328,MM26280,9834.14,0.56274,5.39275,11.35358,2346.68,4170.12,0.76891,1.36638,4.46e-06,9.33681,0.000127,24.1868,5.08e-08,4.52e-11,1.2749887631999999e-10,3.230352696e-12,0.03511811023622047,381733.1626347306,9671.714658682637,0.0008897637795275592,39.46902654867256,0.025336322869955158
448,MN4312,20869.6992,0.92592,6.77327,8.43092,2160.77002,2333.6499,0.69736,0.75315,3.891e-06,10.935619,3.97e-06,13.303658,2.653e-08,6.845e-10,9.558108272159999e-11,2.5161551928e-12,0.9801007556675062,286170.90635209583,7533.3987808383245,0.025800980022615907,37.98695843368728,0.026324824129988475
654,MN5266,17352.0996,0.7135,6.22046,8.88155,2325.30005,3259.01001,0.74305,1.04142,3.255e-06,9.3142032,1.65e-06,9.0269396,3.51e-08,1.844e-09,8.151773175000002e-11,2.1708951e-12,1.9727272727272727,244065.06511976058,6499.685928143714,0.05253561253561253,37.55028593965688,0.02663095566321372
1329,MM26281,9834.14,0.56274,5.39275,11.35358,2346.68,4170.12,0.76891,1.36638,4.46e-06,9.33681,0.000193,-6.728971,5.53e-08,7.74e-11,1.3879306811999998e-10,8.406322668e-12,0.02310880829015544,415548.10814371257,25168.63074251497,0.0013996383363471972,16.510556827462477,0.060567309173768846
1365,MM26318,9839.75,0.55833,5.38305,11.87549,2310.75,4138.68,0.77392,1.38613,3.96e-06,8.89822,0.000112,-26.02605,4.81e-08,1.17e-10,1.0634846508000001e-10,7.316356320000001e-12,0.03535714285714286,318408.5780838324,21905.25844311378,0.0024324324324324327,14.535714285714283,0.06879606879606881
368,MN36,855.56201,1.40131,5.32136,5.84694,927.93201,662.19,0.53964,0.3851,0.0005146,31.254307,2.446e-05,18.371791,8.452e-09,1.287e-08,6.094856592952e-09,4.4113266826199997e-10,21.038430089942764,18248073.631592818,1320756.4918023953,1.5227165168007573,13.81638004041929,0.07237785853273711
1358,MM26311,9031.01,0.55088,5.69416,12.27248,2327.27,4224.64,0.78441,1.42392,3.5e-06,8.17164,8.38e-05,26.8763,5.76e-08,2.12e-10,1.1105740799999999e-10,9.786713728e-12,0.041766109785202864,332507.20958083833,29301.538107784436,0.0036805555555555554,11.347773224658889,0.08812301587301588
457,MN4322,20992.5996,0.75841,6.99423,9.31974,2545.0,3355.67993,0.75943,1.00134,3.072e-06,8.4945109,7.703e-07,8.3589169,5.405e-08,2.364e-08,1.25927609856e-10,1.3810564191720001e-11,3.9880566013241596,377028.77202395216,41348.99458598803,0.437372802960222,9.118208938306719,0.10967066084643849
1366,MM26319,9839.75,0.55833,5.38305,11.87549,2310.75,4138.68,0.77392,1.38613,3.96e-06,8.89822,0.000122,2.8232,4.93e-08,1.8e-10,1.0900164924e-10,1.22609268e-11,0.032459016393442626,326352.243233533,36709.36167664671,0.0036511156186612576,8.89016393442623,0.11248386501936196
1242,MN870,1375.17004,1.07056,4.55376,5.242,1122.93994,1048.93005,0.56165,0.52463,1.805e-05,17.400268,3.546e-06,13.002871,3.051e-08,1.982e-08,5.8956328008e-10,7.52407981632e-11,5.0902425267907505,1765159.521197605,225271.850788024,0.6496230744018355,7.83568614996901,0.12762124220658774
1312,MM26263,7428.1,0.64294,5.50096,10.9994,2263.26,3520.16,0.75338,1.17177,4.1e-06,9.37081,0.0001,2.47338,4.78e-08,2.53e-10,1.2600338119999998e-10,1.6266382e-11,0.040999999999999995,377255.6323353293,48701.74251497007,0.005292887029288703,7.746245059288535,0.12909480559240744
1321,MM26273,9025.86,0.55564,5.57932,13.54606,2340.89,4212.92,0.77878,1.40158,3.77e-06,8.46236,0.000107,6.84046,5.61e-08,2.6e-10,1.1751619308e-10,1.54579048e-11,0.03523364485981308,351844.88946107787,46281.152095808386,0.00463458110516934,7.602336448598131,0.1315385088204561
367,MN34333,7786.37012,1.87297,3.23989,7.98439,0.0,0.0,0.47724,0.2548,2.999e-05,21.07203,3.094e-06,12.558859,3.609e-10,4.65e-10,2.027188664127e-11,2.6946606687e-12,9.69295410471881,60694.27138104791,8067.846313473055,1.2884455527847047,7.522983089017245,0.13292599334164312
671,MN52880,3671.87988,1.57753,3.58583,6.12069,0.0,0.0,0.53664,0.34018,5.492e-06,14.403492,2.332e-06,13.867725,3.859e-08,1.422e-08,3.3433583978840005e-10,5.23125354312e-11,2.3550600343053176,1001005.5083485033,156624.35757844313,0.3684892459186318,6.391122835713236,0.15646702867484508
326,MN15903,2579.5,1.09172,5.63239,6.4461,2043.83997,1872.13,0.64081,0.58697,2.233e-05,15.607023,4.891e-06,11.613068,5.558e-08,4.104e-08,1.354935220408e-09,2.1913728742080003e-10,4.565528521774688,4056692.2766706594,656099.6629365272,0.7383951061532926,6.183042769011626,0.16173266745166837
331,MN15914,2440.58008,1.44681,0.69655,8.30201,0.0,0.0,0.50229,0.34717,2.168e-05,18.74742,3.543e-06,13.206777,1.023e-09,1.014e-09,3.20882781384e-11,5.19781249962e-12,6.11910810047982,96072.68903712576,15562.312873113773,0.9912023460410556,6.1734197108391085,0.1619847745398275
1348,MM26300,7432.34,0.63717,5.72543,11.03504,2474.89,3884.19,0.75934,1.19174,3.54e-06,9.04367,9.25e-05,23.7134,3.4e-08,2.15e-10,7.66897812e-11,1.2671718374999999e-11,0.038270270270270274,229610.12335329343,37939.27657185629,0.006323529411764706,6.052042740414834,0.16523346626786306
278,MN11725,13248.5996,0.6547,6.27944,9.09067,2562.12012,3913.3999,0.76943,1.17524,3.179e-06,8.3764104,1.487e-06,8.2354704,5.53e-08,2.038e-08,1.1509540888999999e-10,1.9840722781999997e-11,2.1378614660390047,344597.0326047904,59403.36162275449,0.3685352622061483,5.800968551126445,0.17238500626000078
8,M7433,9370.58008,1.56228,2.92896,5.68145,0.0,0.0,0.49114,0.31437,1.74e-05,20.313955,2.292e-06,13.466883,2.906e-10,3.853e-10,7.899575083199999e-12,1.3796613413279998e-12,7.591623036649215,23651.42240479042,4130.722578826348,1.3258774948382657,5.725734893460321,0.17465007000973018
1304,MM26142,7414.88,0.87009,6.16844,13.91393,1370.58,1575.21,0.66091,0.75959,1.14e-05,17.0196,2.42e-06,11.0917,6.71e-09,6.23e-09,6.655666446e-11,1.3117998894000001e-11,4.710743801652892,199271.45047904193,39275.445790419166,0.9284649776453056,5.073690354589231,0.19709519700891573
336,MN18477,2203.1001,0.81356,5.02424,6.26046,1618.64001,1989.56995,0.66792,0.82098,4.517e-06,11.766121,1.444e-06,8.7263471,1.736e-08,1.092e-08,6.37954050272e-11,1.28286045888e-11,3.1281163434903045,191004.2066682635,38408.99577485031,0.629032258064516,4.972902905035869,0.2010897898262478
296,MN14572,7914.74023,1.01523,5.16539,7.65955,1646.42004,1621.71997,0.6686,0.65857,6.202e-06,12.378381,1.942e-06,9.2948199,2.255e-08,1.543e-08,1.4198509317300001e-10,3.042142786380001e-11,3.1936148300720903,425105.06938023964,91082.11935269464,0.6842572062084257,4.667272483352277,0.21425789978341872
104,MN10974,9417.66016,1.19196,6.18091,7.20609,1166.23999,978.42102,0.57313,0.48083,6.638e-06,16.433903,1.407e-06,10.911475,7.16e-09,7.456e-09,5.665157023679999e-11,1.250436604032e-11,4.717839374555792,169615.4797508982,37438.22167760479,1.041340782122905,4.530543176209693,0.2207240856352708
347,MN33165,5270.08984,0.91631,4.54529,6.90574,1271.92004,1388.08997,0.59931,0.65405,1.085e-05,15.5607,2.533e-06,11.444322,9.916e-09,9.546e-09,9.858451006599998e-11,2.215639229358e-11,4.283458349782865,295163.20379041915,66336.50387299401,0.9626865671641792,4.44948386721631,0.22474516816837473
144,MN11121,9710.05957,0.97008,6.87958,7.82988,1713.87,1766.73999,0.66075,0.68113,5.51e-06,12.398042,1.716e-06,8.973798,2.117e-08,1.529e-08,1.1315663073600001e-10,2.54526098112e-11,3.210955710955711,338792.30759281444,76205.4185964072,0.7222484648086915,4.445777135443585,0.22493255274259794
452,MN43126,8823.65039,0.6115,6.91862,8.92263,2162.31006,3536.06006,0.74853,1.22408,4.811e-06,10.308096,1.71e-06,8.9565543,3.661e-08,2.36e-08,1.07703929165e-10,2.4677694e-11,2.813450292397661,322466.8537874252,73885.31137724551,0.6446326140398798,4.364424373079593,0.2291252899622104
