ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_m3m-3,Va_cm3g-1,C2H6_Hen,C2H6_Qst,C2H4_Hen,C2H4_Qst,C2H6_Ds,C2H4_Ds,C2H6_P0,C2H4_P0,C2H6_P0_barrer,C2H4_P0_barrer,Sads_C2H6_C2H4,Sads_C2H4_C2H6,Sdiff_C2H4_C2H6,Sperm_C2H6_C2H4,Sperm_C2H4_C2H6
551,MN34333,7786.37012,1.87297,3.23989,7.98439,0.0,0.0,0.47724,0.2548,1.428e-05,10.282601,0.0007022,30.606266,6.548e-11,8.796e-11,1.7513288395680001e-12,1.1568495101064e-10,5243.499519664671,346362.1287743713,0.020336086585018513,49.173669467787114,1.3433109346365302,0.015138778417314829,66.05552789228092
552,MN36,855.56201,1.40131,5.32136,5.84694,927.93201,662.19,0.53964,0.3851,9.349e-05,34.595109,0.006474,35.685476,4.478e-08,3.193e-08,5.866559371681999e-09,2.8967154441419997e-07,17564549.017011978,867280073.0964072,0.01444084028421378,69.24804791956359,0.7130415364001786,0.02025245311390833,49.37673448127881
9,M7433,9370.58008,1.56228,2.92896,5.68145,0.0,0.0,0.49114,0.31437,1.497e-05,10.625868,0.000289,29.624818,3.239e-11,7.708e-11,7.57515670524e-13,3.4801536753599996e-11,2268.010989592815,104196.2178251497,0.051799307958477515,19.30527722110888,2.3797468354430378,0.021766730471913426,45.94167237428442
707,MN43122,2335.22998,1.20316,3.13462,5.79078,0.0,0.0,0.58977,0.49018,2.594e-05,12.338977,0.0004232,28.077716,4.759e-10,8.414e-10,1.485282491336e-11,4.284217903168e-10,44469.535668742516,1282699.9710083834,0.061294896030245745,16.314572089437164,1.7680184912796808,0.034668696245298246,28.844465131440284
12,M7436,9385.51953,1.48322,3.65064,7.39899,0.0,0.0,0.55561,0.3746,1.729e-05,15.952029,0.0001518,25.96412,5.508e-11,8.736e-11,1.4125196489039997e-12,1.966934825856e-11,4229.100745221556,58890.26424718564,0.11389986824769432,8.779641411220359,1.5860566448801743,0.07181324110671934,13.925008599931205
221,MN11236,4905.75,1.63219,3.22763,4.51936,0.0,0.0,0.53185,0.32585,1.008e-05,16.204464,3.389e-05,28.748779,2.226e-11,8.602e-11,3.6623209795200006e-13,4.758189340982001e-12,1096.5032872814375,14246.075871203599,0.29743287105340804,3.362103174603175,3.8643306379155438,0.07696879457857315,12.992278305452162
708,MN43123,2201.5,1.15841,3.22125,6.41341,0.0,0.0,0.62697,0.54124,3.294e-05,8.0572818,0.0002446,24.894281,5.161e-10,7.237e-10,1.9693356908939998e-11,2.0505828613819995e-10,58962.1464339521,613946.9644856286,0.13466884709730173,7.42562234365513,1.4022476264289867,0.0960378499197422,10.412561306148454
457,MN15914,2440.58008,1.44681,0.69655,8.30201,0.0,0.0,0.50229,0.34717,2.447e-05,2.8327945,0.0002673,26.550731,1.167e-09,1.088e-09,4.13158152969e-11,4.2076475654399997e-10,123700.04579910182,1259774.7201916168,0.09154508043396933,10.923579893747444,0.9323050556983719,0.09819219564930351,10.184108761265826
516,MN33242,5265.37988,1.10642,2.81865,6.01698,0.0,0.0,0.52205,0.47183,1.911e-05,7.0679094,0.0001082,27.651428,2.346e-10,3.953e-10,4.960308782520001e-12,4.7323198773200004e-11,14851.223899760484,141686.22387185632,0.1766173752310536,5.661957090528519,1.684995737425405,0.10481769853074925,9.540373563026101
560,MN4131,4070.58008,0.98212,5.74811,7.61257,1330.71997,1354.94995,0.63297,0.64449,3.466e-05,11.690976,0.0002375,29.137517,3.912e-10,5.323e-10,1.331655722304e-11,1.2416083804999999e-10,39869.93180550899,371739.0360778443,0.14593684210526314,6.852279284477785,1.3606850715746421,0.10725247535521126,9.323794128649089
151,MN10989,4902.06006,1.57396,3.30467,4.55089,0.0,0.0,0.50696,0.32209,1.207e-05,6.8758418,6.334e-05,29.385917,4.787e-12,8.332e-12,9.094197649639999e-14,8.306556271647999e-13,272.2813667556886,2486.9928957029942,0.19055888853804862,5.247721623860812,1.7405473156465427,0.10948216507820915,9.133907785671253
