ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_m3m-3,Va_cm3g-1,C3H8_Ds,C3H8_Hen,C3H8_Qst,C3H6_Ds,C3H6_Hen,C3H6_Qst,Sads_C3H8_C3H6,Sdiff_C3H6_C3H8,C3H6_P0,C3H8_P0,C3H8_P0_barrer,C3H6_P0_barrer,Sperm_C3H8_C3H6,Sperm_C3H6_C3H8
9,M7433,9370.58008,1.56228,2.92896,5.68145,0.0,0.0,0.49114,0.31437,3.961e-11,0.02766,45.198242,7.526e-12,0.01124,42.173566,2.4608540925266906,0.19000252461499623,1.3215676470719998e-10,1.7116536527280002e-09,5124711.535113773,395678.9362491018,12.951691549957776,0.0772099919259782
3294,MM26347,13499.5,0.8868,8.99204,11.17155,1764.18005,1989.37,0.68339,1.38613,4.117e-10,0.003763,45.723833,8.545e-11,0.001916,42.704096,1.9639874739039667,0.20755404420694681,1.4518884696e-10,1.3738545922799998e-09,4113337.1026347307,434697.1465868264,9.462535318973234,0.10567992258849591
3052,MM22294,21678.4003,0.49631,6.45061,18.14431,1886.25,3800.54004,0.79088,1.327,1.379e-09,0.0005983,36.702069,4.985e-10,0.0002643,33.428711,2.263715474839198,0.3614938361131254,6.539060440049999e-11,4.0948339446699996e-10,1225998.187026946,195780.25269610775,6.262113620467913,0.15969049119956383
238,MN10967,4892.6001,1.51737,3.35868,4.77041,0.0,0.0,0.51399,0.33874,9.462e-12,0.0041,44.556666,3.517e-12,0.002196,41.672026,1.8670309653916213,0.3716973155781019,1.1719152276840002e-11,5.886515525400001e-11,176242.97980239528,35087.28226598803,5.02298748778377,0.19908470853890528
2912,MM1883,2435.13989,0.94635,8.83113,12.00675,1284.71997,1357.55005,0.6241,0.65948,1.033e-09,0.1684,57.237351,3.344e-10,0.1166,54.922256,1.444253859348199,0.3237173281703775,3.6899170704e-08,1.6462439622e-07,492887413.8323354,110476558.99401198,4.461466018859718,0.2241415704552614
3088,MM23705,10315.7998,0.57716,7.75779,12.0774,2150.48999,3726.0,0.76379,1.70288,1.382e-09,0.001419,35.77149,6.144e-10,0.0007463,33.595946,1.9013801420340346,0.4445730824891461,2.6464328171519996e-10,1.1318442352799998e-09,3388755.1954491017,792345.1548359281,4.276867441879941,0.23381599116395332
917,MN4130,4070.17993,0.98387,5.5864,8.0044,1359.32996,1381.62,0.62702,0.6373,3.857e-10,0.0144,46.560475,2.763e-10,0.006585,43.265669,2.1867881548974943,0.7163598651801919,1.790088005385e-09,5.4644926896000005e-09,16360756.555688627,5359544.926302396,3.052639129004574,0.3275853966813585
3078,MM23631,12536.2002,0.63399,8.57067,11.14656,1946.10999,3069.6499,0.73875,0.99446,1.583e-09,0.002012,36.572438,1.085e-09,0.0009862,34.06096,2.0401541269519368,0.6854074542008844,6.7838641773e-10,2.01925561404e-09,6045675.491137726,2031097.0590718568,2.9765566663271117,0.33595866368435
117,M8336,11918.2002,0.64461,5.52022,12.37362,1941.80005,3012.38989,0.71981,1.11667,1.509e-09,0.0003706,32.742818,7.2e-10,0.0002615,31.223029,1.417208413001912,0.47713717693836977,1.213671708e-10,3.60488731194e-10,1079307.57842515,363374.7628742515,2.970232632249841,0.3366739659184665
909,MN36,855.56201,1.40131,5.32136,5.84694,927.93201,662.19,0.53964,0.3851,2.9e-08,1.501,50.270703,2.971e-08,0.5011,46.779909,2.995410097784873,1.0244827586206895,2.086225626211e-05,6.099762298999999e-05,182627613742.51498,62461845096.13773,2.9238267531390547,0.34201752854418893
